PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,2,Passenger 1,male,19.4,1,0,19.88,Q,0
2,3,Passenger 2,male,28.4,1,2,41.51,C,0
3,2,Passenger 3,male,1.0,3,1,54.77,S,0
4,3,Passenger 4,female,14.4,2,2,29.91,S,1
5,3,Passenger 5,male,5.1,1,0,41.67,S,0
6,3,Passenger 6,female,46.1,2,2,32.13,S,1
7,3,Passenger 7,male,43.0,1,1,35.83,S,0
8,3,Passenger 8,male,33.9,3,2,28.21,S,0
9,3,Passenger 9,female,31.4,3,0,33.6,S,1
10,3,Passenger 10,male,37.6,0,2,286.7,S,0
11,3,Passenger 11,male,16.0,1,0,42.49,S,0
12,1,Passenger 12,female,47.5,3,1,55.49,Q,0
13,2,Passenger 13,male,31.3,2,1,47.01,Q,0
14,3,Passenger 14,male,42.8,1,2,26.84,S,0
15,3,Passenger 15,male,42.3,1,1,93.24,S,0
16,1,Passenger 16,female,37.5,0,2,26.23,S,0
17,1,Passenger 17,female,34.4,2,0,77.02,S,1
18,3,Passenger 18,male,33.3,0,2,25.35,S,0
19,2,Passenger 19,male,29.1,1,0,15.36,S,0
20,3,Passenger 20,male,36.8,0,1,44.36,S,0
21,3,Passenger 21,male,32.9,1,0,13.68,S,0
22,3,Passenger 22,male,23.2,1,0,50.83,S,0
23,1,Passenger 23,male,38.5,0,0,12.74,C,1
24,1,Passenger 24,male,33.9,0,0,25.66,S,1
25,1,Passenger 25,male,46.9,1,0,10.53,S,0
26,2,Passenger 26,female,4.7,0,2,317.14,S,1
27,3,Passenger 27,male,30.5,0,0,8.82,S,0
28,3,Passenger 28,male,19.9,1,0,33.38,S,0
29,1,Passenger 29,male,22.8,2,0,82.65,C,0
30,1,Passenger 30,female,37.8,0,0,75.88,S,1
31,1,Passenger 31,female,9.9,0,0,65.44,C,1
32,3,Passenger 32,female,31.9,3,0,25.69,S,0
33,3,Passenger 33,male,30.4,2,1,97.6,S,0
34,3,Passenger 34,female,15.3,0,2,68.77,S,0
35,3,Passenger 35,male,32.2,1,0,39.25,S,0
36,3,Passenger 36,male,19.3,3,2,40.14,S,0
37,3,Passenger 37,male,60.8,3,1,25.97,Q,0
38,1,Passenger 38,female,46.8,3,1,16.0,S,0
39,3,Passenger 39,female,30.9,0,0,89.1,S,0
40,2,Passenger 40,female,24.0,1,2,94.61,C,1
41,3,Passenger 41,female,37.1,3,0,16.33,S,0
42,1,Passenger 42,male,40.7,2,1,29.28,S,1
43,3,Passenger 43,male,33.6,3,1,29.53,S,0
44,1,Passenger 44,male,15.8,3,2,32.26,S,0
45,3,Passenger 45,female,27.1,2,0,34.86,S,0
46,2,Passenger 46,male,31.1,3,2,70.63,S,0
47,3,Passenger 47,female,34.1,3,2,18.21,S,0
48,3,Passenger 48,male,34.4,2,1,16.83,S,0
49,2,Passenger 49,male,40.2,0,2,89.06,S,0
50,3,Passenger 50,male,48.8,2,1,22.87,S,0
51,3,Passenger 51,male,44.2,0,0,12.06,S,0
52,1,Passenger 52,female,38.3,0,2,22.46,Q,1
53,3,Passenger 53,male,12.4,0,2,25.43,S,0
54,3,Passenger 54,male,46.6,2,0,114.89,C,0
