Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Tata Nexon,2018,15.84,111373,Petrol,Dealer,Manual,0,2.71
Mahindra XUV500,2012,29.24,63719,Petrol,Individual,Manual,0,5.13
Tata Nexon,2016,7.05,147798,Diesel,Dealer,Manual,0,0.5
Mahindra XUV500,2013,24.5,136164,Diesel,Individual,Automatic,0,0.5
Tata Nexon,2021,3.12,34995,Petrol,Dealer,Manual,1,1.81
Honda City,2017,6.51,137749,Petrol,Dealer,Manual,2,0.5
Honda City,2018,14.23,98778,Diesel,Dealer,Automatic,0,2.71
Mahindra XUV500,2023,5.68,26892,Diesel,Dealer,Manual,1,3.74
Hyundai Creta,2013,30.07,32057,Petrol,Individual,Manual,0,4.05
Maruti Swift,2022,30.65,121089,Petrol,Dealer,Manual,2,4.65
Honda City,2017,27.18,115452,Diesel,Dealer,Manual,0,5.72
Maruti Swift,2024,10.76,65753,Diesel,Dealer,Manual,0,6.52
Toyota Innova,2014,19.74,65275,CNG,Individual,Manual,0,2.63
Hyundai i20,2020,8.89,122819,Petrol,Individual,Manual,0,2.6
Maruti Swift,2015,12.0,80705,Petrol,Dealer,Automatic,1,0.76
Maruti Swift,2014,19.51,61438,Petrol,Dealer,Automatic,3,0.66
Toyota Innova,2024,26.52,105102,Diesel,Dealer,Automatic,1,12.04
Mahindra XUV500,2022,6.03,62314,Petrol,Dealer,Automatic,0,2.96
Tata Nexon,2014,12.49,35740,Petrol,Dealer,Manual,1,2.21
Kia Seltos,2013,32.65,146102,Petrol,Dealer,Manual,1,0.5
Hyundai Creta,2023,16.73,143123,Diesel,Individual,Manual,1,2.36
Mahindra XUV500,2020,33.04,61010,Petrol,Individual,Automatic,1,11.04
Tata Nexon,2019,34.72,130871,Diesel,Dealer,Manual,1,2.64
Tata Nexon,2016,19.85,113159,Diesel,Dealer,Manual,1,0.5
Hyundai Creta,2025,12.22,15589,Diesel,Individual,Automatic,1,11.33
Mahindra XUV500,2025,28.3,16395,Petrol,Dealer,Automatic,0,21.82
Mahindra XUV500,2024,8.1,148905,CNG,Dealer,Automatic,0,2.78
Hyundai Creta,2020,11.07,71134,Petrol,Individual,Manual,1,4.03
Maruti Swift,2024,28.12,91491,Petrol,Dealer,Manual,1,13.99
Maruti Swift,2013,16.88,126656,CNG,Dealer,Manual,0,0.5
Honda City,2017,9.45,146169,Petrol,Dealer,Manual,3,0.5
Honda City,2018,23.84,93096,Petrol,Dealer,Manual,0,5.05
Hyundai i20,2017,26.45,28426,Petrol,Dealer,Manual,0,10.86
Hyundai i20,2014,7.0,128267,Petrol,Dealer,Manual,0,0.5
Kia Seltos,2021,11.86,115128,Diesel,Dealer,Manual,2,2.46
Mahindra XUV500,2025,10.08,48463,Petrol,Individual,Manual,0,8.16
Honda City,2021,15.16,76249,Diesel,Dealer,Automatic,0,3.86
Mahindra XUV500,2021,27.43,45079,Diesel,Dealer,Manual,0,13.92
Maruti Swift,2020,25.84,129805,Petrol,Dealer,Manual,0,2.09
Toyota Innova,2025,24.2,76447,Petrol,Dealer,Manual,1,13.52
Honda City,2023,3.2,140026,Petrol,Individual,Manual,0,0.74
Maruti Swift,2019,7.55,113123,Diesel,Dealer,Manual,1,0.76
Mahindra XUV500,2019,10.15,134247,Diesel,Dealer,Automatic,2,0.55
Hyundai Creta,2019,11.7,101411,Diesel,Dealer,Automatic,0,3.77
Honda City,2020,7.69,60331,Petrol,Dealer,Manual,1,4.26
Tata Nexon,2012,16.13,23440,Petrol,Dealer,Automatic,0,2.85
Honda City,2019,5.41,63407,Petrol,Dealer,Manual,0,1.45
Mahindra XUV500,2013,27.0,35898,Petrol,Dealer,Manual,1,5.67
Mahindra XUV500,2015,28.21,126332,Petrol,Individual,Manual,1,0.5
Kia Seltos,2012,21.38,50428,CNG,Individual,Automatic,0,3.47
Mahindra XUV500,2023,5.87,20427,Petrol,Individual,Manual,0,4.84
Tata Nexon,2017,31.48,104751,CNG,Individual,Manual,2,0.86
Maruti Swift,2021,33.9,50419,Petrol,Individual,Manual,1,14.98
Tata Nexon,2012,9.48,92490,CNG,Individual,Manual,0,0.5
Honda City,2023,25.55,84363,Petrol,Dealer,Manual,0,11.57
Hyundai Creta,2016,29.94,79501,CNG,Dealer,Manual,0,6.49
Tata Nexon,2020,20.27,103632,Petrol,Individual,Manual,0,6.46
Kia Seltos,2012,13.35,13985,CNG,Dealer,Manual,0,4.3
Toyota Innova,2020,18.31,142045,Petrol,Dealer,Manual,0,2.52
Tata Nexon,2015,19.39,71673,Petrol,Dealer,Manual,0,3.45
Mahindra XUV500,2014,15.82,107776,Petrol,Dealer,Manual,1,0.5
Kia Seltos,2019,32.75,61718,Petrol,Dealer,Automatic,0,8.69
Tata Nexon,2017,26.8,106578,Diesel,Dealer,Manual,1,2.31
Hyundai i20,2018,10.72,73809,CNG,Dealer,Manual,0,3.14
Toyota Innova,2020,21.74,27627,Diesel,Individual,Manual,0,12.55
Maruti Swift,2016,25.04,57621,Diesel,Individual,Manual,0,6.49
Mahindra XUV500,2024,7.49,102729,Petrol,Individual,Automatic,1,3.22
Kia Seltos,2013,14.47,20151,Diesel,Individual,Manual,0,3.54
Tata Nexon,2014,31.98,80691,Petrol,Dealer,Manual,0,4.8
Hyundai Creta,2014,21.15,93484,Diesel,Dealer,Manual,0,1.26
Toyota Innova,2015,9.94,75172,Petrol,Dealer,Manual,0,1.57
Maruti Swift,2021,6.93,102185,Diesel,Individual,Manual,0,1.87
Toyota Innova,2018,19.58,114242,Petrol,Dealer,Automatic,1,2.68
Kia Seltos,2023,20.53,42236,Petrol,Individual,Automatic,0,13.42
Hyundai i20,2021,13.7,6042,Petrol,Dealer,Manual,1,8.36
Kia Seltos,2017,23.17,149135,Petrol,Individual,Manual,2,0.5
Kia Seltos,2014,5.2,107035,Petrol,Dealer,Automatic,0,0.5
Hyundai Creta,2025,7.64,113069,Petrol,Individual,Manual,1,3.37
Maruti Swift,2018,20.48,77838,Diesel,Dealer,Manual,1,5.38
Hyundai Creta,2015,4.98,120148,Petrol,Dealer,Manual,2,0.5
Hyundai Creta,2021,31.19,65650,Diesel,Dealer,Manual,0,16.19
Maruti Swift,2022,7.55,138374,Petrol,Individual,Manual,1,1.86
Tata Nexon,2022,24.57,47311,Petrol,Dealer,Manual,2,13.27
Honda City,2019,15.52,136433,Diesel,Individual,Automatic,0,0.76
Kia Seltos,2018,15.79,43261,Petrol,Individual,Manual,0,5.5
Maruti Swift,2018,27.48,126834,Petrol,Individual,Automatic,2,0.5
Hyundai Creta,2020,18.98,22171,Diesel,Dealer,Manual,1,12.59
Kia Seltos,2019,26.22,46226,Petrol,Dealer,Manual,0,12.11
Kia Seltos,2023,19.17,34327,Diesel,Dealer,Manual,1,14.57
Hyundai Creta,2012,21.97,75628,Petrol,Individual,Manual,0,0.5
Maruti Swift,2018,27.34,87473,Petrol,Individual,Manual,0,6.0
Hyundai i20,2014,22.43,69223,Diesel,Individual,Automatic,0,2.77
Hyundai i20,2023,22.7,80315,Diesel,Dealer,Manual,1,10.06
Kia Seltos,2015,28.26,109755,Petrol,Dealer,Manual,1,0.5
Hyundai i20,2017,33.37,68624,Diesel,Individual,Manual,0,6.56
Kia Seltos,2016,15.05,100650,CNG,Dealer,Automatic,1,1.24
Hyundai Creta,2019,21.47,145382,Petrol,Individual,Manual,0,2.4
Tata Nexon,2013,5.76,39281,Petrol,Dealer,Manual,1,1.78
Maruti Swift,2016,14.48,64270,CNG,Dealer,Automatic,0,3.07
